"","Metabolic_activity","compound","taxonomy.ID"
"2833","Consumption (import)","C00065, C00740","Clostridium sporogenes"
"2834","Consumption (import)","C00065, C00740","Clostridium tetani"
"2836","Consumption (import)","C00065, C00740","Deinococcus radiodurans"
"2837","Consumption (import)","C00065, C00740","Fusobacterium nucleatum"
"2838","Consumption (import)","C00065, C00740","Methylobacterium nodulans"
"2839","Consumption (import)","C00065, C00740","Cutibacterium acnes"
"2840","Consumption (import)","C00065, C00740","Streptococcus equinus"
"2841","Consumption (import)","C00247","Klebsiella pneumoniae"
"2842","Consumption (import)","C00188","Acidovorax avenae"
"2843","Consumption (import)","C00188","Acidovorax delafieldii"
"2844","Consumption (import)","C00188","Candidatus Baumannia cicadellinicola"
"2845","Consumption (import)","C00188","Clostridium botulinum"
"2846","Consumption (import)","C00188","Clostridioides difficile"
"2847","Consumption (import)","C00188","Clostridium sporogenes"
"2848","Consumption (import)","C00188","Clostridium tetani"
"2850","Production (export)","C00188","Escherichia coli"
"2851","Consumption (import)","C00188","Fusobacterium nucleatum"
"2852","Consumption (import)","C00188","Streptococcus equinus"
"2853","Consumption (import)","C00078","Acidovorax avenae"
"2854","Consumption (import)","C00078","Acidovorax delafieldii"
"2855","Consumption (import)","C00078","Bacillus subtilis"
"2856","Consumption (import)","C00078","Candidatus Baumannia cicadellinicola"
"2857","Consumption (import) & production (export)","C00078","Buchnera aphidicola"
"2858","Consumption (import)","C00078","Clostridium botulinum"
"2859","Consumption (import)","C00078","Clostridioides difficile"
"2860","Consumption (import)","C00078","Clostridium sporogenes"
"2861","Consumption (import)","C00078","Acetoanaerobium sticklandii"
"2862","Consumption (import)","C00078","Clostridium tetani"
"2864","Consumption (import)","C00078","Fibrobacter succinogenes"
"2865","Consumption (import)","C00078","Odoribacter splanchnicus"
"2866","Consumption (import)","C00078","Ruminococcus albus"
"2867","Consumption (import)","C00082","Achromobacter piechaudii"
"2868","Consumption (import)","C00082","Bacteroides thetaiotaomicron"
"2869","Consumption (import)","C00082","Candidatus Baumannia cicadellinicola"
"2870","Consumption (import)","C00082","Clostridium botulinum"
"2871","Consumption (import)","C00082","Clostridioides difficile"
"2872","Consumption (import)","C00082","Clostridium sporogenes"
"2873","Consumption (import)","C00082","Acetoanaerobium sticklandii"
"2874","Consumption (import)","C00082","Clostridium tetani"
"2876","Consumption (import)","C00082","Streptococcus salivarius"
"2877","Consumption (import)","C00183, C06417","Aminobacterium colombiense"
"2878","Consumption (import)","C00183, C06417","Anaerotruncus colihominis"
"2879","Consumption (import)","C00183, C06417","Bacteroides thetaiotaomicron"
"2880","Consumption (import)","C00183, C06417","Candidatus Baumannia cicadellinicola"
"2881","Consumption (import)","C00183, C06417","Clostridioides difficile"
"2883","Consumption (import)","C00183, C06417","Escherichia coli"
"2884","Consumption (import)","C00183, C06417","Streptococcus salivarius"
"2885","Consumption (import)","C00243","Actinobacillus succinogenes"
"2886","Consumption (import)","C00243","Aeromonas salmonicida"
"2887","Consumption (import)","C00243","Anaerococcus hydrogenalis"
"2888","Consumption (import)","C00243","Anaerococcus lactolyticus"
"2889","Consumption (import)","C00243","Bacteroides xylanisolvens"
"2890","Consumption (import)","C00243","Bifidobacterium adolescentis"
"2891","Consumption (import)","C00243","Bifidobacterium angulatum"
"2892","Consumption (import)","C00243","Bifidobacterium animalis"
"2893","Consumption (import)","C00243","Bifidobacterium bifidum"
"2894","Consumption (import)","C00243","Bifidobacterium breve"
"2895","Consumption (import)","C00243","Bifidobacterium catenulatum"
"2896","Consumption (import)","C00243","Bifidobacterium dentium"
"2897","Consumption (import)","C00243","Bifidobacterium gallicum"
"2898","Consumption (import)","C00243","Bifidobacterium longum"
"2899","Consumption (import)","C00243","Bifidobacterium pseudocatenulatum"
"2900","Consumption (import)","C00243","Blautia hansenii"
"2901","Consumption (import)","C00243","Blautia hydrogenotrophica"
"2902","Consumption (import)","C00243","Butyrivibrio crossotus"
"2903","Consumption (import)","C00243","Butyrivibrio fibrisolvens"
"2904","Consumption (import)","C00243","Butyrivibrio proteoclasticus"
"2905","Consumption (import)","C00243","Catenibacterium mitsuokai"
"2906","Consumption (import)","C00243","Collinsella aerofaciens"
"2907","Consumption (import)","C00243","Collinsella stercoris"
"2908","Consumption (import)","C00243","Coprococcus comes"
"2909","Consumption (import)","C00243","Coprococcus eutactus"
"2910","Consumption (import)","C00243","Dorea formicigenerans"
"2911","Consumption (import)","C00243","Dorea longicatena"
"2912","Consumption (import)","C00243","Enterobacter cancerogenus"
"2913","Consumption (import)","C00243","Enterobacter cloacae"
"2914","Consumption (import)","C00243","Enterococcus casseliflavus"
"2915","Consumption (import)","C00243","Enterococcus faecalis"
"2916","Consumption (import)","C00243","Enterococcus faecium"
"2917","Consumption (import)","C00243","Enterococcus gallinarum"
"2918","Consumption (import)","C00243","Enterococcus italicus"
"2919","Consumption (import)","C00243","Escherichia coli"
"2920","Consumption (import)","C00243","[Eubacterium] rectale"
"2921","Consumption (import)","C00243","Lacticaseibacillus casei"
"2922","Consumption (import)","C00243","Lactobacillus delbrueckii"
"2923","Consumption (import)","C00243","Lactobacillus gasseri"
"2924","Consumption (import)","C00243","Lactobacillus helveticus"
"2925","Consumption (import)","C00243","Lactobacillus johnsonii"
"2926","Consumption (import)","C00243","Lacticaseibacillus paracasei"
"2927","Consumption (import)","C00243","Limosilactobacillus reuteri"
"2928","Consumption (import)","C00243","Lacticaseibacillus rhamnosus"
"2929","Consumption (import)","C00243","Ligilactobacillus salivarius"
"2930","Consumption (import)","C00243","Leptotrichia buccalis"
"2931","Consumption (import)","C00243","Pseudoleptotrichia goodfellowii"
"2932","Consumption (import)","C00243","Leptotrichia hofstadii"
"2933","Consumption (import)","C00243","Leuconostoc mesenteroides"
"2934","Consumption (import)","C00243","Marvinbryantia formatexigens"
"2935","Consumption (import)","C00243","Megamonas hypermegale"
"2936","Consumption (import)","C00243","Odoribacter splanchnicus"
"2937","Consumption (import)","C00243","Parabacteroides distasonis"
"2938","Consumption (import)","C00243","Parabacteroides merdae"
"2939","Consumption (import)","C00243","Pediococcus acidilactici"
"2940","Consumption (import)","C00243","Prevotella copri"
"2941","Consumption (import)","C00243","Propionibacterium freudenreichii"
"2942","Consumption (import)","C00243","Streptococcus agalactiae"
"2943","Consumption (import)","C00243","Streptococcus anginosus"
"2944","Consumption (import)","C00243","Streptococcus australis"
"2945","Consumption (import)","C00243","Streptococcus equinus"
"2946","Consumption (import)","C00243","Streptococcus cristatus"
"2947","Consumption (import)","C00243","Streptococcus downei"
"2948","Consumption (import)","C00243","Streptococcus dysgalactiae"
"2949","Consumption (import)","C00243","Streptococcus equi"
"2950","Consumption (import)","C00243","Streptococcus gallolyticus"
"2951","Consumption (import)","C00243","Streptococcus gordonii"
"2952","Consumption (import)","C00243","Streptococcus infantarius"
"2953","Consumption (import)","C00243","Streptococcus infantis"
"2954","Consumption (import)","C00243","Streptococcus mitis"
"2955","Consumption (import)","C00243","Streptococcus mutans"
"2956","Consumption (import)","C00243","Streptococcus oralis"
"2957","Consumption (import)","C00243","Streptococcus parasanguinis"
"2958","Consumption (import)","C00243","Streptococcus peroris"
"2959","Consumption (import)","C00243","Streptococcus pneumoniae"
"2960","Consumption (import)","C00243","Streptococcus pseudoporcinus"
"2961","Consumption (import)","C00243","Streptococcus pyogenes"
"2962","Consumption (import)","C00243","Streptococcus salivarius"
"2963","Consumption (import)","C00243","Streptococcus sanguinis"
"2964","Consumption (import)","C00243","Streptococcus suis"
"2965","Consumption (import)","C00243","Streptococcus thermophilus"
"2966","Consumption (import)","C00243","Streptococcus uberis"
"2967","Consumption (import)","C00243","Streptococcus vestibularis"
"2968","Consumption (import)","C00243","Subdoligranulum variabile"
"2969","Production (export)","C01595","Bifidobacterium breve"
"2970","Production (export)","C01595","Bifidobacterium pseudocatenulatum"
"2971","Consumption (import)","C01595","Butyrivibrio fibrisolvens"
"2972","Consumption (import)","C01595","Butyrivibrio proteoclasticus"
"2974","Consumption (import)","C01595","Roseburia intestinalis"
"2975","Consumption (import)","C01595","Roseburia inulinivorans"
"2976","Consumption (import)","C01595","Ruminococcus albus"
"2977","Production (export)","C03990","Bacteroides fragilis"
"2978","Production (export)","C03990","Bacteroides thetaiotaomicron"
"2979","Production (export)","C03990","Bifidobacterium adolescentis"
"2980","Production (export)","C03990","Bifidobacterium animalis"
"2981","Production (export)","C03990","Bifidobacterium bifidum"
"2982","Production (export)","C03990","Bifidobacterium breve"
"2983","Production (export)","C03990","Bifidobacterium longum"
"2984","Production (export)","C03990","Peptacetobacter hiranonis"
"2985","Production (export)","C03990","[Clostridium] hylemonae"
"2986","Production (export)","C03990","[Clostridium] leptum"
"2987","Production (export)","C03990","Clostridium perfringens"
"2988","Production (export)","C03990","[Clostridium] scindens"
"2989","Production (export)","C03990","Lactobacillus acidophilus"
"2990","Production (export)","C03990","Levilactobacillus brevis"
"2991","Production (export)","C03990","Lentilactobacillus buchneri"
"2992","Production (export)","C03990","Lactobacillus gasseri"
"2993","Production (export)","C03990","Lentilactobacillus hilgardii"
"2994","Production (export)","C03990","Lactiplantibacillus plantarum"
"2995","Production (export)","C03990","Listeria monocytogenes"
"2996","Consumption (import)","C00383","Achromobacter piechaudii"
"2997","Consumption (import)","C00208","Anaerotruncus colihominis"
"2998","Consumption (import)","C00208","Bacteroides xylanisolvens"
"2999","Consumption (import)","C00208","Bifidobacterium adolescentis"
"3000","Consumption (import)","C00208","Bifidobacterium longum"
"3001","Consumption (import)","C00208","Blautia hydrogenotrophica"
"3002","Consumption (import)","C00208","Butyrivibrio crossotus"
"3003","Consumption (import)","C00208","Butyrivibrio fibrisolvens"
"3004","Consumption (import)","C00208","Butyrivibrio proteoclasticus"
"3005","Consumption (import)","C00208","Catenibacterium mitsuokai"
"3006","Consumption (import)","C00208","Collinsella aerofaciens"
"3007","Consumption (import)","C00208","Collinsella stercoris"
"3008","Consumption (import)","C00208","Coprococcus comes"
"3009","Consumption (import)","C00208","Coprococcus eutactus"
"3010","Consumption (import)","C00208","Desulfovibrio piger"
"3011","Consumption (import)","C00208","Dorea formicigenerans"
"3012","Consumption (import)","C00208","Dorea longicatena"
"3013","Consumption (import)","C00208","Escherichia coli"
"3014","Consumption (import)","C00208","[Eubacterium] rectale"
"3015","Consumption (import)","C00208","Flavobacterium johnsoniae"
"3016","Consumption (import)","C00208","Leptotrichia buccalis"
"3017","Consumption (import)","C00208","Pseudoleptotrichia goodfellowii"
"3018","Consumption (import)","C00208","Leptotrichia hofstadii"
"3019","Consumption (import)","C00208","Marvinbryantia formatexigens"
"3020","Consumption (import)","C00208","Megamonas hypermegale"
"3021","Consumption (import)","C00208","Parabacteroides merdae"
"3022","Consumption (import)","C00208","Prevotella copri"
"3023","Consumption (import)","C00208","Pyrococcus furiosus"
"3024","Consumption (import)","C00208","Roseburia intestinalis"
"3025","Consumption (import)","C00208","Ruminococcus bromii"
"3026","Consumption (import)","C00208","Blautia obeum"
"3027","Consumption (import)","C00208","Streptococcus equinus"
"3028","Consumption (import)","C00208","Streptococcus gordonii"
"3029","Consumption (import)","C00208","Subdoligranulum variabile"
"3030","Consumption (import)","C00208","Saccharolobus solfataricus"
"3031","Consumption (import)","C00208","Thermotoga maritima"
"3032","Consumption (import)","C05402","Aeromonas hydrophila"
"3033","Consumption (import)","C05402","Bacteroides xylanisolvens"
"3034","Consumption (import)","C05402","Coprococcus eutactus"
"3035","Consumption (import)","C05402","Holdemania filiformis"
"3036","Consumption (import)","C05402","Leptotrichia buccalis"
"3037","Consumption (import)","C05402","Megamonas hypermegale"
"3038","Consumption (import)","C05402","Roseburia intestinalis"
"3039","Consumption (import)","C05402","Subdoligranulum variabile"
"3040","Production (export)","C00828","Bacillus cereus"
"3041","Production (export)","C00828","Priestia megaterium"
"3042","Production (export)","C00828","Bacillus mycoides"
"3043","Production (export)","C00828","Bacillus subtilis"
